Name,Core Count,Performance Core Clock,Performance Core Boost Clock,TDP,Integrated Graphics,SMT,Rating,Price
AMD Threadripper 2990WX,32,3 GHz,4.2 GHz,250 W,None,Yes,-6,"$2,500.00 "
Intel Core i9-11900F,8,2.5 GHz,5.2 GHz,65 W,None,Yes,0,$210.00 
Intel Core i3-6100,2,3.7 GHz,,51 W,Intel HD Graphics 530,Yes,-161,$100.00 
Intel Core i7-4790K,4,4 GHz,4.4 GHz,88 W,Intel HD Graphics 4600,Yes,-6,$185.00 
Intel Xeon E5-2683 V4,16,2.1 GHz,3 GHz,120 W,None,Yes,0,"$1,998.95 "
Intel Core i7-6800K,6,3.4 GHz,3.6 GHz,140 W,None,Yes,-22,$103.00 
Intel Core i7-8700K,6,3.7 GHz,4.7 GHz,95 W,Intel UHD Graphics 630,Yes,-2,$272.50 
Intel Core i5-10500,6,3.1 GHz,4.5 GHz,65 W,Intel UHD Graphics 630,Yes,0,$238.99 
AMD Athlon II X2 240,2,2.8 GHz,,65 W,None,No,0,$29.48 
AMD Threadripper 1920X,12,3.5 GHz,4 GHz,180 W,None,Yes,-8,$270.00 
Intel Core i5-7600,4,3.5 GHz,4.1 GHz,65 W,Intel HD Graphics 630,No,-21,$89.00 
Intel Core i7-6900K,8,3.2 GHz,3.7 GHz,140 W,None,Yes,-6,$120.00 
Intel Core i9-9900K,8,3.6 GHz,5 GHz,95 W,Intel UHD Graphics 630,Yes,-2,$699.99 
AMD Athlon X4 845,4,3.5 GHz,3.8 GHz,65 W,None,No,-4,$50.00 
Intel Pentium Gold G7400,2,3.7 GHz,,46 W,Intel UHD Graphics 710,Yes,0,$102.75 
Intel Pentium G640,2,2.8 GHz,,65 W,Intel HD Graphics,No,-1,$30.00 
Intel Core i5-11600,6,2.8 GHz,4.8 GHz,65 W,Intel UHD Graphics 750,Yes,-2,$140.00 
Intel Core i5-9500,6,3 GHz,4.4 GHz,65 W,Intel UHD Graphics 630,No,-1,$160.74 
Intel Core i7-4930K,6,3.4 GHz,3.9 GHz,130 W,None,Yes,-45,$100.00 
Intel Core i9-12900F,16,2.4 GHz,5.1 GHz,65 W,None,Yes,0,$432.99 
Intel Core i5-12600,6,3.3 GHz,4.8 GHz,65 W,Intel UHD Graphics 770,Yes,-3,$332.21 
AMD Threadripper 1950X,16,3.4 GHz,4 GHz,180 W,None,Yes,-18,$576.53 
Intel Core i9-12900,16,2.4 GHz,5.1 GHz,65 W,Intel UHD Graphics 770,Yes,0,$458.00 
Intel Celeron G4930,2,3.2 GHz,,54 W,Intel UHD Graphics 610,No,0,$48.75 
Intel Core 2 Duo E8400,2,3 GHz,,65 W,None,No,-4,$27.55 
Intel Xeon E5-2640 V3,8,2.6 GHz,3.4 GHz,90 W,None,Yes,-1,$67.15 
Intel Core i9-10900X,10,3.7 GHz,4.7 GHz,165 W,None,Yes,-1,$615.00 
Intel Core i9-7960X,16,2.8 GHz,4.4 GHz,165 W,None,Yes,0,$347.48 
Intel Core i5-7500T,4,2.7 GHz,3.3 GHz,35 W,Intel HD Graphics 630,No,0,$64.95 
Intel Celeron 420,1,1.6 GHz,,35 W,None,No,0,$75.44 
Intel Core i9-10900,10,2.8 GHz,5.2 GHz,65 W,Intel UHD Graphics 630,Yes,-3,$276.33 
AMD 2650,2,1.45 GHz,,25 W,Radeon HD 8240,No,-2,$84.56 
Intel Xeon E5-2650 V4,12,2.2 GHz,2.9 GHz,105 W,None,Yes,0,$79.00 
AMD Threadripper 2950X,16,3.5 GHz,4.4 GHz,180 W,None,Yes,-6,"$1,075.00 "
Intel Core i7-8086K,6,4 GHz,5 GHz,95 W,Intel UHD Graphics 630,Yes,-18,$450.01 
Intel Core i9-9900,8,3.1 GHz,5 GHz,65 W,Intel UHD Graphics 630,Yes,-3,$464.15 
Intel Core i5-11500,6,2.7 GHz,4.6 GHz,65 W,Intel UHD Graphics 750,Yes,-9,$147.47 
Intel Core i7-8700,6,3.2 GHz,4.6 GHz,65 W,Intel UHD Graphics 630,Yes,-2,$611.05 
Intel Core i3-9100,4,3.6 GHz,4.2 GHz,65 W,Intel UHD Graphics 630,No,-7,$144.82 
Intel Core i9-7900X,10,3.3 GHz,4.5 GHz,140 W,None,Yes,-8,$400.00 
Intel Pentium E5700,2,3 GHz,,65 W,None,No,0,$19.98 
Intel Core i7-7700,4,3.6 GHz,4.2 GHz,65 W,Intel HD Graphics 630,Yes,-1,$329.95 
AMD FX-8320,8,3.5 GHz,,125 W,None,No,-248,$175.00 
Intel Core i7-7740X,4,4.3 GHz,4.5 GHz,112 W,None,Yes,-1,$234.00 
Intel Core i5-8400,6,2.8 GHz,4 GHz,65 W,Intel UHD Graphics 630,No,-1,$249.95 
Intel Core i5-8600,6,3.1 GHz,4.3 GHz,65 W,Intel UHD Graphics 630,No,-4,$190.00 
Intel Core i9-10940X,14,3.3 GHz,4.8 GHz,165 W,None,Yes,0,$780.00 
Intel Core i9-11900,8,2.5 GHz,5.2 GHz,65 W,Intel UHD Graphics 750,Yes,-2,$260.00 
Intel Xeon E5-1650 V4,6,3.6 GHz,4 GHz,140 W,None,Yes,0,$84.94 
Intel Core i7-7800X,6,3.5 GHz,4 GHz,140 W,None,Yes,-12,$479.99 
Intel Xeon E5-2667 V3,8,3.2 GHz,3.6 GHz,135 W,None,Yes,-1,"$1,008.93 "
Intel Core i5-4440,4,3.1 GHz,3.3 GHz,84 W,Intel HD Graphics 4600,No,-39,$100.00 
Intel Pentium Gold G6400,2,4 GHz,,58 W,Intel UHD Graphics 610,Yes,-2,$74.99 
Intel Core i9-9900K,8,3.6 GHz,5 GHz,95 W,Intel UHD Graphics 630,Yes,-9,$400.00 
Intel Core i3-2100,2,3.1 GHz,,65 W,Intel HD Graphics 2000,Yes,-12,$49.00 
Intel Xeon E5-2683 V4,16,2.1 GHz,3 GHz,120 W,None,Yes,0,$189.95 
AMD Ryzen 3 1200,4,3.1 GHz,3.4 GHz,65 W,None,No,-4,$105.00 
AMD FX-9590,8,4.7 GHz,5 GHz,220 W,None,No,-29,$302.58 
AMD Threadripper 2920X,12,3.5 GHz,4.3 GHz,180 W,None,Yes,-1,$708.59 
Intel Core i7-6850K,6,3.6 GHz,3.8 GHz,140 W,None,Yes,-24,$105.00 
Intel Pentium G4560,2,3.5 GHz,,54 W,Intel HD Graphics 610,Yes,-91,$133.41 
AMD Threadripper 2970WX,24,3 GHz,4.2 GHz,250 W,None,Yes,0,$999.00 
Intel Celeron G3900,2,2.8 GHz,,51 W,Intel HD Graphics 510,No,0,$39.90 
Intel Core i7-4820K,4,3.7 GHz,3.9 GHz,130 W,None,Yes,-26,$205.86 
AMD A4-6300,2,3.7 GHz,3.9 GHz,65 W,Radeon HD 8370D,No,-5,$46.79 
Intel Core i9-7980XE,18,2.6 GHz,4.4 GHz,165 W,None,Yes,-1,$999.95 
AMD FX-8370,8,4 GHz,4.3 GHz,125 W,None,No,-17,$276.99 
Intel Core i3-7100T,2,3.4 GHz,,35 W,Intel HD Graphics 630,Yes,0,$41.13 
Intel Xeon E5-1650 V3,6,3.5 GHz,3.8 GHz,140 W,None,Yes,0,$54.46 
Intel Core i7-6700,4,3.4 GHz,4 GHz,65 W,Intel HD Graphics 530,Yes,0,$354.99 
Intel Core i9-9980XE,18,3 GHz,4.4 GHz,165 W,None,Yes,0,"$1,498.95 "
Intel Xeon E5-2630 V3,8,2.4 GHz,3.2 GHz,85 W,None,Yes,-1,$169.95 
Intel Core i9-10920X,12,3.5 GHz,4.8 GHz,165 W,None,Yes,-1,$799.00 
Intel Core i7-9700F,8,3 GHz,4.7 GHz,65 W,None,No,0,$395.34 
AMD FX-6350,6,3.9 GHz,,125 W,None,No,-49,$100.00 
Intel Core i5-10600,6,3.3 GHz,4.8 GHz,65 W,Intel UHD Graphics 630,Yes,-3,$349.95 
Intel Core i5-9400,6,2.9 GHz,4.1 GHz,65 W,Intel UHD Graphics 630,No,0,$110.00 
Intel Xeon E5-2690 V4,14,2.6 GHz,3.5 GHz,135 W,None,Yes,-1,"$1,025.58 "
Intel Xeon E5-2687W V4,12,3 GHz,3.5 GHz,160 W,None,Yes,0,"$1,900.16 "
Intel Core i7-870,4,2.93 GHz,,95 W,None,Yes,-3,$100.00 
Intel Core i7-9700,8,3 GHz,4.7 GHz,65 W,Intel HD Graphics 630,No,0,$299.80 
AMD FX-6120,6,3.5 GHz,4.1 GHz,95 W,None,No,0,$58.53 
Intel Core i7-4960X Extreme Edition,6,3.6 GHz,4 GHz,130 W,None,Yes,-7,$775.04 
Intel Xeon E5-2695 V2,12,2.4 GHz,3.2 GHz,115 W,None,Yes,0,$189.00 
